customer_id,current_ltv,ltv_month_3,ltv_month_6,ltv_month_12,value_at_risk,decay_rate_pct,decay_pattern,urgency,intervention_month,turning_point
77,655.8,565.1,474.41,293.01,362.79,13.8,🟢 STABLE,Low,10,11
78,897.0,681.0,465.0,33.01,863.99,24.1,🟡 DECLINING,Medium,6,7
79,310.79999999999995,286.84,262.87,214.95,95.85,7.7,🟢 STABLE,Low,11,12
80,952.1999999999999,111.22,0.0,0.0,952.2,88.3,🔴 CRITICAL DECAY,Critical,1,1
81,606.5999999999999,397.99,189.38,0.0,606.6,34.4,🟡 DECLINING,Medium,4,5
82,901.8000000000001,362.07,0.0,0.0,901.8,59.9,🟠 RAPID DECLINE,High,1,1
83,1245.6,647.46,49.33,0.0,1245.6,48.0,🟠 RAPID DECLINE,High,3,4
84,241.79999999999998,238.58,235.37,228.94,12.86,1.3,🟢 STABLE,Low,11,12
85,1191.6,114.27,0.0,0.0,1191.6,90.4,🔴 CRITICAL DECAY,Critical,1,1
86,745.8,719.62,693.44,641.09,104.71,3.5,🟢 STABLE,Low,11,12
87,247.79999999999998,245.94,244.08,240.37,7.43,0.8,🟢 STABLE,Low,11,12
88,239.39999999999998,236.74,234.09,228.77,10.63,1.1,🟢 STABLE,Low,11,12
89,405.0,274.43,143.86,0.0,405.0,32.2,🟡 DECLINING,Medium,4,5
90,984.5999999999999,923.26,861.92,739.24,245.36,6.2,🟢 STABLE,Low,11,12
91,896.4000000000001,212.27,0.0,0.0,896.4,76.3,🔴 CRITICAL DECAY,Critical,1,2
92,1008.0,1001.75,995.5,983.0,25.0,0.6,🟢 STABLE,Low,11,12
93,1332.6,1154.16,975.73,618.86,713.74,13.4,🟢 STABLE,Low,11,12
94,1210.8000000000002,1197.6,1184.4,1158.01,52.79,1.1,🟢 STABLE,Low,11,12
95,947.4000000000001,306.39,0.0,0.0,947.4,67.7,🔴 CRITICAL DECAY,Critical,1,1
96,802.1999999999999,791.85,781.5,760.81,41.39,1.3,🟢 STABLE,Low,11,12
97,252.60000000000002,158.13,63.66,0.0,252.6,37.4,🟠 RAPID DECLINE,High,4,5
98,252.0,249.43,246.86,241.72,10.28,1.0,🟢 STABLE,Low,11,12
99,1182.0,402.23,0.0,0.0,1182.0,66.0,🔴 CRITICAL DECAY,Critical,1,1
100,242.39999999999998,143.43,44.46,0.0,242.4,40.8,🟠 RAPID DECLINE,High,1,1
101,233.39999999999998,121.39,9.38,0.0,233.4,48.0,🟠 RAPID DECLINE,High,1,1
102,1140.0,1072.28,1004.57,869.14,270.86,5.9,🟢 STABLE,Low,11,12
103,546.5999999999999,538.35,530.09,513.59,33.01,1.5,🟢 STABLE,Low,11,12
104,1320.0,1272.08,1224.17,1128.34,191.66,3.6,🟢 STABLE,Low,1,1
105,291.6,158.86,26.13,0.0,291.6,45.5,🟠 RAPID DECLINE,High,1,2
106,1249.8000000000002,1234.8,1219.8,1189.81,59.99,1.2,🟢 STABLE,Low,11,12
107,361.79999999999995,354.13,346.46,331.12,30.68,2.1,🟢 STABLE,Low,11,12
108,1132.1999999999998,994.64,857.08,581.95,550.25,12.1,🟢 STABLE,Low,11,12
109,232.79999999999998,232.52,232.24,231.68,1.12,0.1,🟢 STABLE,Low,11,12
110,1161.0,693.23,225.47,0.0,1161.0,40.3,🟠 RAPID DECLINE,High,3,4
111,695.4000000000001,672.94,650.48,605.55,89.85,3.2,🟢 STABLE,Low,11,12
112,1099.8000000000002,729.39,358.97,0.0,1099.8,33.7,🟡 DECLINING,Medium,4,5
113,918.0,339.38,0.0,0.0,918.0,63.0,🔴 CRITICAL DECAY,Critical,1,1
114,655.2,644.72,634.23,613.27,41.93,1.6,🟢 STABLE,Low,11,12
115,1078.1999999999998,751.29,424.38,0.0,1078.2,30.3,🟡 DECLINING,Medium,4,5
116,372.6,370.44,368.28,363.96,8.64,0.6,🟢 STABLE,Low,11,12
117,1203.0,192.24,0.0,0.0,1203.0,84.0,🔴 CRITICAL DECAY,Critical,1,1
118,247.79999999999998,245.84,243.88,239.97,7.83,0.8,🟢 STABLE,Low,11,12
119,1022.4000000000001,746.45,470.51,0.0,1022.4,27.0,🟡 DECLINING,Medium,5,6
120,1197.6,969.7,741.79,285.99,911.61,19.0,🟡 DECLINING,Medium,7,8
121,248.39999999999998,147.25,46.1,0.0,248.4,40.7,🟠 RAPID DECLINE,High,3,4
122,892.8000000000001,108.56,0.0,0.0,892.8,87.8,🔴 CRITICAL DECAY,Critical,1,1
123,608.4000000000001,532.78,457.15,305.9,302.5,12.4,🟢 STABLE,Low,11,12
124,250.20000000000002,122.02,0.0,0.0,250.2,51.2,🟠 RAPID DECLINE,High,2,3
125,1067.4,1052.46,1037.51,1007.63,59.77,1.4,🟢 STABLE,Low,11,12
126,936.5999999999999,391.78,0.0,0.0,936.6,58.2,🟠 RAPID DECLINE,High,1,1
127,282.6,281.84,281.07,279.55,3.05,0.3,🟢 STABLE,Low,11,12
128,237.0,138.55,40.1,0.0,237.0,41.5,🟠 RAPID DECLINE,High,1,1
129,677.4000000000001,597.26,517.13,356.85,320.55,11.8,🟢 STABLE,Low,11,12
130,1031.4,149.45,0.0,0.0,1031.4,85.5,🔴 CRITICAL DECAY,Critical,1,1
131,703.2,531.9,360.6,18.0,685.2,24.4,🟡 DECLINING,Medium,1,1
132,606.5999999999999,598.41,590.22,573.84,32.76,1.4,🟢 STABLE,Low,11,12
133,425.40000000000003,45.31,0.0,0.0,425.4,89.3,🔴 CRITICAL DECAY,Critical,1,1
134,532.2,215.12,0.0,0.0,532.2,59.6,🟠 RAPID DECLINE,High,1,1
135,308.4,303.74,299.09,289.77,18.63,1.5,🟢 STABLE,Low,11,12
136,900.0,531.27,162.54,0.0,900.0,41.0,🟠 RAPID DECLINE,High,3,4
137,242.39999999999998,241.02,239.64,236.87,5.53,0.6,🟢 STABLE,Low,11,12
138,235.20000000000002,233.6,232.0,228.8,6.4,0.7,🟢 STABLE,Low,11,12
139,845.4000000000001,77.35,0.0,0.0,845.4,90.9,🔴 CRITICAL DECAY,Critical,1,1
140,1056.6,1054.49,1052.37,1048.15,8.45,0.2,🟢 STABLE,Low,11,12
141,853.8000000000001,643.34,432.88,11.95,841.85,24.6,🟡 DECLINING,Medium,6,7
142,1212.6,1174.04,1135.48,1058.36,154.24,3.2,🟢 STABLE,Low,11,12
143,1011.5999999999999,954.44,897.29,782.98,228.62,5.7,🟢 STABLE,Low,11,12
144,287.4,286.71,286.02,284.64,2.76,0.2,🟢 STABLE,Low,11,12
145,1188.6,1171.72,1154.84,1121.09,67.51,1.4,🟢 STABLE,Low,11,12
146,235.20000000000002,226.0,216.81,198.41,36.79,3.9,🟢 STABLE,Low,11,12
147,547.8,85.4,0.0,0.0,547.8,84.4,🔴 CRITICAL DECAY,Critical,1,1
148,774.0,762.31,750.63,727.25,46.75,1.5,🟢 STABLE,Low,11,12
149,834.0,759.19,684.38,534.76,299.24,9.0,🟢 STABLE,Low,11,12
150,822.5999999999999,602.55,382.51,0.0,822.6,26.8,🟡 DECLINING,Medium,5,6
151,1140.0,251.83,0.0,0.0,1140.0,77.9,🔴 CRITICAL DECAY,Critical,1,1
152,1297.8000000000002,1237.58,1177.36,1056.93,240.87,4.6,🟢 STABLE,Low,11,12
153,1033.1999999999998,1025.86,1018.53,1003.86,29.34,0.7,🟢 STABLE,Low,11,12
154,236.39999999999998,118.96,1.51,0.0,236.4,49.7,🟠 RAPID DECLINE,High,3,4
155,970.8000000000001,411.23,0.0,0.0,970.8,57.6,🟠 RAPID DECLINE,High,1,1
156,1009.8000000000001,445.02,0.0,0.0,1009.8,55.9,🟠 RAPID DECLINE,High,1,1
157,241.79999999999998,234.23,226.66,211.53,30.27,3.1,🟢 STABLE,Low,11,12
158,771.0,765.06,759.13,747.25,23.75,0.8,🟢 STABLE,Low,11,12
159,308.4,305.25,302.11,295.82,12.58,1.0,🟢 STABLE,Low,11,12
160,672.0,587.6,503.19,334.39,337.61,12.6,🟢 STABLE,Low,11,12
161,988.8000000000001,555.11,121.42,0.0,988.8,43.9,🟠 RAPID DECLINE,High,3,4
162,836.4000000000001,131.98,0.0,0.0,836.4,84.2,🔴 CRITICAL DECAY,Critical,1,1
163,886.8000000000001,881.92,877.05,867.29,19.51,0.6,🟢 STABLE,Low,11,12
164,247.20000000000002,232.42,217.63,188.07,59.13,6.0,🟢 STABLE,Low,11,12
165,238.79999999999998,237.41,236.03,233.26,5.54,0.6,🟢 STABLE,Low,11,12
166,850.8000000000001,230.48,0.0,0.0,850.8,72.9,🔴 CRITICAL DECAY,Critical,1,1
167,1068.6,1066.89,1065.18,1061.76,6.84,0.2,🟢 STABLE,Low,11,12
168,543.5999999999999,287.94,32.29,0.0,543.6,47.0,🟠 RAPID DECLINE,High,1,1
169,244.79999999999998,139.9,35.01,0.0,244.8,42.9,🟠 RAPID DECLINE,High,3,4
170,1011.0,972.89,934.77,858.54,152.46,3.8,🟢 STABLE,Low,11,12
171,1252.8000000000002,108.62,0.0,0.0,1252.8,91.3,🔴 CRITICAL DECAY,Critical,1,1
172,983.4000000000001,961.37,939.34,895.29,88.11,2.2,🟢 STABLE,Low,11,12
173,1138.1999999999998,974.98,811.76,485.33,652.87,14.3,🟢 STABLE,Low,10,11
174,246.60000000000002,238.39,230.18,213.75,32.85,3.3,🟢 STABLE,Low,11,12
175,296.4,243.23,190.05,83.7,212.7,17.9,🟡 DECLINING,Medium,8,9
176,893.4000000000001,253.73,0.0,0.0,893.4,71.6,🔴 CRITICAL DECAY,Critical,1,1
177,917.4000000000001,666.22,415.03,0.0,917.4,27.4,🟡 DECLINING,Medium,5,6
178,1264.1999999999998,399.49,0.0,0.0,1264.2,68.4,🔴 CRITICAL DECAY,Critical,1,2
179,246.60000000000002,237.9,229.19,211.78,34.82,3.5,🟢 STABLE,Low,11,12
180,359.4,202.99,46.58,0.0,359.4,43.5,🟠 RAPID DECLINE,High,3,4
181,543.5999999999999,289.9,36.2,0.0,543.6,46.7,🟠 RAPID DECLINE,High,1,2
182,1014.0,338.27,0.0,0.0,1014.0,66.6,🔴 CRITICAL DECAY,Critical,1,1
183,897.0,815.01,733.03,569.06,327.94,9.1,🟢 STABLE,Low,11,12
184,951.0,312.97,0.0,0.0,951.0,67.1,🔴 CRITICAL DECAY,Critical,1,1
185,297.6,102.26,0.0,0.0,297.6,65.6,🔴 CRITICAL DECAY,Critical,1,1
186,621.5999999999999,431.51,241.43,0.0,621.6,30.6,🟡 DECLINING,Medium,4,5
187,364.79999999999995,193.38,21.96,0.0,364.8,47.0,🟠 RAPID DECLINE,High,3,4
188,235.79999999999998,228.7,221.6,207.41,28.39,3.0,🟢 STABLE,Low,11,12
189,679.2,545.47,411.73,144.26,534.94,19.7,🟡 DECLINING,Medium,7,8
190,862.8000000000001,801.63,740.45,618.11,244.69,7.1,🟢 STABLE,Low,11,12
191,1092.0,283.05,0.0,0.0,1092.0,74.1,🔴 CRITICAL DECAY,Critical,1,1
192,237.0,236.19,235.39,233.78,3.22,0.3,🟢 STABLE,Low,11,12
193,1316.4,1313.64,1310.87,1305.34,11.06,0.2,🟢 STABLE,Low,11,12
194,231.60000000000002,230.65,229.7,227.8,3.8,0.4,🟢 STABLE,Low,11,12
195,1158.6,195.11,0.0,0.0,1158.6,83.2,🔴 CRITICAL DECAY,Critical,1,1
196,289.20000000000005,286.37,283.53,277.86,11.34,1.0,🟢 STABLE,Low,11,12
197,1336.1999999999998,684.67,33.14,0.0,1336.2,48.8,🟠 RAPID DECLINE,High,3,4
198,1347.0,1332.99,1318.98,1290.96,56.04,1.0,🟢 STABLE,Low,11,12
199,249.0,185.43,121.86,0.0,249.0,25.5,🟡 DECLINING,Medium,5,6
200,1222.8000000000002,386.16,0.0,0.0,1222.8,68.4,🔴 CRITICAL DECAY,Critical,2,3
201,960.5999999999999,251.58,0.0,0.0,960.6,73.8,🔴 CRITICAL DECAY,Critical,1,1
202,1266.6,1257.99,1249.37,1232.15,34.45,0.7,🟢 STABLE,Low,11,12
203,939.5999999999999,750.74,561.88,184.16,755.44,20.1,🟡 DECLINING,Medium,7,8
204,826.1999999999999,681.78,537.36,248.52,577.68,17.5,🟡 DECLINING,Medium,8,9
205,959.4000000000001,887.54,815.68,671.96,287.44,7.5,🟢 STABLE,Low,11,12
206,665.4000000000001,663.74,662.07,658.75,6.65,0.2,🟢 STABLE,Low,11,12
207,958.8000000000001,105.56,0.0,0.0,958.8,89.0,🔴 CRITICAL DECAY,Critical,1,1
208,1279.1999999999998,231.28,0.0,0.0,1279.2,81.9,🔴 CRITICAL DECAY,Critical,1,1
209,1229.4,895.25,561.1,0.0,1229.4,27.2,🟡 DECLINING,Medium,5,6
210,552.0,297.47,42.95,0.0,552.0,46.1,🟠 RAPID DECLINE,High,1,1
211,303.0,117.2,0.0,0.0,303.0,61.3,🔴 CRITICAL DECAY,Critical,1,1
212,237.0,235.7,234.39,231.79,5.21,0.5,🟢 STABLE,Low,11,12
213,240.0,227.78,215.57,191.14,48.86,5.1,🟢 STABLE,Low,11,12
214,1041.6,422.58,0.0,0.0,1041.6,59.4,🟠 RAPID DECLINE,High,1,2
215,705.0,578.17,451.34,197.68,507.32,18.0,🟡 DECLINING,Medium,8,9
216,543.0,541.1,539.2,535.4,7.6,0.3,🟢 STABLE,Low,11,12
217,679.2,675.46,671.73,664.26,14.94,0.6,🟢 STABLE,Low,11,12
218,1010.4000000000001,1005.15,999.89,989.38,21.02,0.5,🟢 STABLE,Low,11,12
219,960.0,172.51,0.0,0.0,960.0,82.0,🔴 CRITICAL DECAY,Critical,1,1
220,841.8000000000001,133.43,0.0,0.0,841.8,84.1,🔴 CRITICAL DECAY,Critical,1,1
221,297.0,296.05,295.1,293.2,3.8,0.3,🟢 STABLE,Low,11,12
222,242.39999999999998,224.56,206.72,171.04,71.36,7.4,🟢 STABLE,Low,11,12
223,600.5999999999999,426.31,252.01,0.0,600.6,29.0,🟡 DECLINING,Medium,5,6
224,232.20000000000002,221.36,210.51,188.83,43.37,4.7,🟢 STABLE,Low,11,12
225,607.2,546.66,486.12,365.05,242.15,10.0,🟢 STABLE,Low,11,12
226,973.8000000000001,849.93,726.07,478.33,495.47,12.7,🟢 STABLE,Low,11,12
227,662.4000000000001,340.74,19.08,0.0,662.4,48.6,🟠 RAPID DECLINE,High,1,1
228,1078.8000000000002,645.66,212.52,0.0,1078.8,40.2,🟠 RAPID DECLINE,High,3,4
229,1023.5999999999999,1012.14,1000.67,977.74,45.86,1.1,🟢 STABLE,Low,11,12
230,1296.0,1231.72,1167.44,1038.87,257.13,5.0,🟢 STABLE,Low,11,12
231,1122.0,1038.3,954.6,787.2,334.8,7.5,🟢 STABLE,Low,11,12
232,1015.1999999999999,357.35,0.0,0.0,1015.2,64.8,🔴 CRITICAL DECAY,Critical,1,1
233,243.0,242.66,242.32,241.64,1.36,0.1,🟢 STABLE,Low,11,12
234,301.79999999999995,243.79,185.79,69.78,232.02,19.2,🟡 DECLINING,Medium,7,8
235,652.8,227.44,0.0,0.0,652.8,65.2,🔴 CRITICAL DECAY,Critical,1,1
236,355.20000000000005,330.76,306.32,257.45,97.75,6.9,🟢 STABLE,Low,11,12
237,877.8000000000001,256.58,0.0,0.0,877.8,70.8,🔴 CRITICAL DECAY,Critical,1,1
238,1140.0,237.92,0.0,0.0,1140.0,79.1,🔴 CRITICAL DECAY,Critical,1,1
239,237.0,235.63,234.25,231.5,5.5,0.6,🟢 STABLE,Low,11,12
240,1039.1999999999998,1036.6,1034.0,1028.81,10.39,0.3,🟢 STABLE,Low,11,12
241,1310.4,1295.33,1280.26,1250.12,60.28,1.2,🟢 STABLE,Low,11,12
242,896.4000000000001,798.33,700.27,504.14,392.26,10.9,🟢 STABLE,Low,11,12
243,1132.8000000000002,1069.48,1006.15,879.51,253.29,5.6,🟢 STABLE,Low,11,12
244,657.5999999999999,520.69,383.78,109.95,547.65,20.8,🟡 DECLINING,Medium,7,8
245,904.1999999999999,341.52,0.0,0.0,904.2,62.2,🔴 CRITICAL DECAY,Critical,1,2
246,780.0,741.78,703.56,627.12,152.88,4.9,🟢 STABLE,Low,11,12
247,892.8000000000001,221.68,0.0,0.0,892.8,75.2,🔴 CRITICAL DECAY,Critical,1,1
248,582.5999999999999,227.91,0.0,0.0,582.6,60.9,🔴 CRITICAL DECAY,Critical,1,1
249,1188.0,1017.64,847.28,506.56,681.44,14.3,🟢 STABLE,Low,10,11
250,1122.0,1045.82,969.63,817.26,304.74,6.8,🟢 STABLE,Low,11,12
251,844.8000000000001,323.81,0.0,0.0,844.8,61.7,🔴 CRITICAL DECAY,Critical,1,1
252,482.40000000000003,142.74,0.0,0.0,482.4,70.4,🔴 CRITICAL DECAY,Critical,1,1
253,1004.4000000000001,976.88,949.36,894.32,110.08,2.7,🟢 STABLE,Low,11,12
254,238.20000000000002,168.81,99.42,0.0,238.2,29.1,🟡 DECLINING,Medium,5,6
255,714.5999999999999,708.31,702.02,689.45,25.15,0.9,🟢 STABLE,Low,11,12
256,1381.1999999999998,1369.32,1357.44,1333.69,47.51,0.9,🟢 STABLE,Low,11,12
257,1372.1999999999998,1100.23,828.26,284.32,1087.88,19.8,🟡 DECLINING,Medium,7,8
258,535.2,345.36,155.53,0.0,535.2,35.5,🟠 RAPID DECLINE,High,4,5
259,540.0,396.25,252.5,0.0,540.0,26.6,🟡 DECLINING,Medium,5,6
260,493.79999999999995,74.32,0.0,0.0,493.8,84.9,🔴 CRITICAL DECAY,Critical,1,1
261,1282.8000000000002,206.15,0.0,0.0,1282.8,83.9,🔴 CRITICAL DECAY,Critical,1,1
262,1078.1999999999998,442.28,0.0,0.0,1078.2,59.0,🟠 RAPID DECLINE,High,1,2
263,598.2,594.43,590.66,583.13,15.07,0.6,🟢 STABLE,Low,11,12
264,1359.6,1042.68,725.75,91.91,1267.69,23.3,🟡 DECLINING,Medium,6,7
265,1057.1999999999998,1053.08,1048.95,1040.71,16.49,0.4,🟢 STABLE,Low,11,12
266,298.79999999999995,296.41,294.02,289.24,9.56,0.8,🟢 STABLE,Low,11,12
267,1260.0,332.14,0.0,0.0,1260.0,73.6,🔴 CRITICAL DECAY,Critical,1,1
268,232.20000000000002,229.99,227.79,223.38,8.82,1.0,🟢 STABLE,Low,11,12
269,291.0,289.89,288.79,286.58,4.42,0.4,🟢 STABLE,Low,11,12
270,1133.4,224.19,0.0,0.0,1133.4,80.2,🔴 CRITICAL DECAY,Critical,1,1
271,717.0,709.04,701.08,685.17,31.83,1.1,🟢 STABLE,Low,11,12
272,297.6,128.92,0.0,0.0,297.6,56.7,🟠 RAPID DECLINE,High,1,1
273,1284.6,783.86,283.13,0.0,1284.6,39.0,🟠 RAPID DECLINE,High,3,4
274,847.1999999999999,146.14,0.0,0.0,847.2,82.8,🔴 CRITICAL DECAY,Critical,1,1
275,1024.8000000000002,123.59,0.0,0.0,1024.8,87.9,🔴 CRITICAL DECAY,Critical,1,1
276,1260.6,451.04,0.0,0.0,1260.6,64.2,🔴 CRITICAL DECAY,Critical,1,1
277,779.4000000000001,690.47,601.54,423.68,355.72,11.4,🟢 STABLE,Low,11,12
278,660.0,243.08,0.0,0.0,660.0,63.2,🔴 CRITICAL DECAY,Critical,2,3
279,606.5999999999999,483.22,359.84,113.07,493.53,20.3,🟡 DECLINING,Medium,7,8
280,661.8,524.54,387.29,112.77,549.03,20.7,🟡 DECLINING,Medium,7,8
281,614.4000000000001,489.92,365.45,116.49,497.91,20.3,🟡 DECLINING,Medium,7,8
282,304.79999999999995,235.28,165.75,26.7,278.1,22.8,🟡 DECLINING,Medium,6,7
283,653.4000000000001,636.41,619.42,585.45,67.95,2.6,🟢 STABLE,Low,11,12
284,1141.8000000000002,693.87,245.94,0.0,1141.8,39.2,🟠 RAPID DECLINE,High,1,1
285,912.0,766.81,621.62,331.24,580.76,15.9,🟡 DECLINING,Medium,9,10
286,532.2,391.22,250.24,0.0,532.2,26.5,🟡 DECLINING,Medium,1,2
287,840.0,117.77,0.0,0.0,840.0,86.0,🔴 CRITICAL DECAY,Critical,1,1
288,894.0,181.75,0.0,0.0,894.0,79.7,🔴 CRITICAL DECAY,Critical,1,1
289,538.2,392.56,246.93,0.0,538.2,27.1,🟡 DECLINING,Medium,5,6
290,913.1999999999999,232.41,0.0,0.0,913.2,74.5,🔴 CRITICAL DECAY,Critical,1,1
